DUTS-TR-Image\0001.jpg DUTS-TR-Contour\0001.png
DUTS-TR-Image\0003.jpg DUTS-TR-Contour\0003.png
DUTS-TR-Image\0004.jpg DUTS-TR-Contour\0004.png
DUTS-TR-Image\0005.jpg DUTS-TR-Contour\0005.png
DUTS-TR-Image\0007.jpg DUTS-TR-Contour\0007.png
DUTS-TR-Image\0008.jpg DUTS-TR-Contour\0008.png
DUTS-TR-Image\0009.jpg DUTS-TR-Contour\0009.png
DUTS-TR-Image\0011.jpg DUTS-TR-Contour\0011.png
DUTS-TR-Image\0012.jpg DUTS-TR-Contour\0012.png
DUTS-TR-Image\0013.jpg DUTS-TR-Contour\0013.png
DUTS-TR-Image\0014.jpg DUTS-TR-Contour\0014.png
DUTS-TR-Image\0015.jpg DUTS-TR-Contour\0015.png
DUTS-TR-Image\0016.jpg DUTS-TR-Contour\0016.png
DUTS-TR-Image\0020.jpg DUTS-TR-Contour\0020.png
DUTS-TR-Image\0022.jpg DUTS-TR-Contour\0022.png
DUTS-TR-Image\0024.jpg DUTS-TR-Contour\0024.png
DUTS-TR-Image\0027.jpg DUTS-TR-Contour\0027.png
DUTS-TR-Image\0028.jpg DUTS-TR-Contour\0028.png
DUTS-TR-Image\0030.jpg DUTS-TR-Contour\0030.png
DUTS-TR-Image\0031.jpg DUTS-TR-Contour\0031.png
DUTS-TR-Image\0032.jpg DUTS-TR-Contour\0032.png
DUTS-TR-Image\0035.jpg DUTS-TR-Contour\0035.png
DUTS-TR-Image\0037.jpg DUTS-TR-Contour\0037.png
DUTS-TR-Image\0039.jpg DUTS-TR-Contour\0039.png
DUTS-TR-Image\0041.jpg DUTS-TR-Contour\0041.png
DUTS-TR-Image\0042.jpg DUTS-TR-Contour\0042.png
DUTS-TR-Image\0043.jpg DUTS-TR-Contour\0043.png
DUTS-TR-Image\0044.jpg DUTS-TR-Contour\0044.png
DUTS-TR-Image\0045.jpg DUTS-TR-Contour\0045.png
DUTS-TR-Image\0046.jpg DUTS-TR-Contour\0046.png
DUTS-TR-Image\0047.jpg DUTS-TR-Contour\0047.png
DUTS-TR-Image\0048.jpg DUTS-TR-Contour\0048.png
DUTS-TR-Image\0049.jpg DUTS-TR-Contour\0049.png
DUTS-TR-Image\0050.jpg DUTS-TR-Contour\0050.png
DUTS-TR-Image\0051.jpg DUTS-TR-Contour\0051.png
DUTS-TR-Image\0052.jpg DUTS-TR-Contour\0052.png
DUTS-TR-Image\0053.jpg DUTS-TR-Contour\0053.png
DUTS-TR-Image\0054.jpg DUTS-TR-Contour\0054.png
DUTS-TR-Image\0056.jpg DUTS-TR-Contour\0056.png
DUTS-TR-Image\0058.jpg DUTS-TR-Contour\0058.png
DUTS-TR-Image\0059.jpg DUTS-TR-Contour\0059.png
DUTS-TR-Image\0060.jpg DUTS-TR-Contour\0060.png
DUTS-TR-Image\0065.jpg DUTS-TR-Contour\0065.png
DUTS-TR-Image\0067.jpg DUTS-TR-Contour\0067.png
DUTS-TR-Image\0068.jpg DUTS-TR-Contour\0068.png
DUTS-TR-Image\0070.jpg DUTS-TR-Contour\0070.png
DUTS-TR-Image\0071.jpg DUTS-TR-Contour\0071.png
DUTS-TR-Image\0072.jpg DUTS-TR-Contour\0072.png
DUTS-TR-Image\0073.jpg DUTS-TR-Contour\0073.png
DUTS-TR-Image\0074.jpg DUTS-TR-Contour\0074.png
DUTS-TR-Image\0075.jpg DUTS-TR-Contour\0075.png
DUTS-TR-Image\0076.jpg DUTS-TR-Contour\0076.png
DUTS-TR-Image\0077.jpg DUTS-TR-Contour\0077.png
DUTS-TR-Image\0078.jpg DUTS-TR-Contour\0078.png
DUTS-TR-Image\0079.jpg DUTS-TR-Contour\0079.png
DUTS-TR-Image\0081.jpg DUTS-TR-Contour\0081.png
DUTS-TR-Image\0083.jpg DUTS-TR-Contour\0083.png
DUTS-TR-Image\0084.jpg DUTS-TR-Contour\0084.png
DUTS-TR-Image\0085.jpg DUTS-TR-Contour\0085.png
DUTS-TR-Image\0086.jpg DUTS-TR-Contour\0086.png
DUTS-TR-Image\0087.jpg DUTS-TR-Contour\0087.png
DUTS-TR-Image\0088.jpg DUTS-TR-Contour\0088.png
DUTS-TR-Image\0089.jpg DUTS-TR-Contour\0089.png
DUTS-TR-Image\0091.jpg DUTS-TR-Contour\0091.png
DUTS-TR-Image\0092.jpg DUTS-TR-Contour\0092.png
DUTS-TR-Image\0093.jpg DUTS-TR-Contour\0093.png
DUTS-TR-Image\0095.jpg DUTS-TR-Contour\0095.png
DUTS-TR-Image\0097.jpg DUTS-TR-Contour\0097.png
DUTS-TR-Image\0098.jpg DUTS-TR-Contour\0098.png
DUTS-TR-Image\0100.jpg DUTS-TR-Contour\0100.png
DUTS-TR-Image\0101.jpg DUTS-TR-Contour\0101.png
DUTS-TR-Image\0103.jpg DUTS-TR-Contour\0103.png
DUTS-TR-Image\0104.jpg DUTS-TR-Contour\0104.png
DUTS-TR-Image\0105.jpg DUTS-TR-Contour\0105.png
DUTS-TR-Image\0106.jpg DUTS-TR-Contour\0106.png
DUTS-TR-Image\0107.jpg DUTS-TR-Contour\0107.png
DUTS-TR-Image\0108.jpg DUTS-TR-Contour\0108.png
DUTS-TR-Image\0109.jpg DUTS-TR-Contour\0109.png
DUTS-TR-Image\0110.jpg DUTS-TR-Contour\0110.png
DUTS-TR-Image\0112.jpg DUTS-TR-Contour\0112.png
DUTS-TR-Image\0114.jpg DUTS-TR-Contour\0114.png
DUTS-TR-Image\0115.jpg DUTS-TR-Contour\0115.png
DUTS-TR-Image\0117.jpg DUTS-TR-Contour\0117.png
DUTS-TR-Image\0118.jpg DUTS-TR-Contour\0118.png
DUTS-TR-Image\0119.jpg DUTS-TR-Contour\0119.png
DUTS-TR-Image\0120.jpg DUTS-TR-Contour\0120.png
DUTS-TR-Image\0123.jpg DUTS-TR-Contour\0123.png
DUTS-TR-Image\0124.jpg DUTS-TR-Contour\0124.png
DUTS-TR-Image\0125.jpg DUTS-TR-Contour\0125.png
DUTS-TR-Image\0126.jpg DUTS-TR-Contour\0126.png
DUTS-TR-Image\0127.jpg DUTS-TR-Contour\0127.png
DUTS-TR-Image\0129.jpg DUTS-TR-Contour\0129.png
DUTS-TR-Image\0130.jpg DUTS-TR-Contour\0130.png
DUTS-TR-Image\0132.jpg DUTS-TR-Contour\0132.png
DUTS-TR-Image\0134.jpg DUTS-TR-Contour\0134.png
DUTS-TR-Image\0136.jpg DUTS-TR-Contour\0136.png
DUTS-TR-Image\0138.jpg DUTS-TR-Contour\0138.png
DUTS-TR-Image\0139.jpg DUTS-TR-Contour\0139.png
DUTS-TR-Image\0140.jpg DUTS-TR-Contour\0140.png
DUTS-TR-Image\0142.jpg DUTS-TR-Contour\0142.png
DUTS-TR-Image\0145.jpg DUTS-TR-Contour\0145.png
DUTS-TR-Image\0146.jpg DUTS-TR-Contour\0146.png
DUTS-TR-Image\0148.jpg DUTS-TR-Contour\0148.png
DUTS-TR-Image\0149.jpg DUTS-TR-Contour\0149.png
DUTS-TR-Image\0150.jpg DUTS-TR-Contour\0150.png
DUTS-TR-Image\0151.jpg DUTS-TR-Contour\0151.png
DUTS-TR-Image\0153.jpg DUTS-TR-Contour\0153.png
DUTS-TR-Image\0154.jpg DUTS-TR-Contour\0154.png
DUTS-TR-Image\0155.jpg DUTS-TR-Contour\0155.png
DUTS-TR-Image\0156.jpg DUTS-TR-Contour\0156.png
DUTS-TR-Image\0159.jpg DUTS-TR-Contour\0159.png
DUTS-TR-Image\0160.jpg DUTS-TR-Contour\0160.png
DUTS-TR-Image\0161.jpg DUTS-TR-Contour\0161.png
DUTS-TR-Image\0163.jpg DUTS-TR-Contour\0163.png
DUTS-TR-Image\0164.jpg DUTS-TR-Contour\0164.png
DUTS-TR-Image\0165.jpg DUTS-TR-Contour\0165.png
DUTS-TR-Image\0166.jpg DUTS-TR-Contour\0166.png
DUTS-TR-Image\0168.jpg DUTS-TR-Contour\0168.png
DUTS-TR-Image\0169.jpg DUTS-TR-Contour\0169.png
DUTS-TR-Image\0171.jpg DUTS-TR-Contour\0171.png
DUTS-TR-Image\0173.jpg DUTS-TR-Contour\0173.png
DUTS-TR-Image\0174.jpg DUTS-TR-Contour\0174.png
DUTS-TR-Image\0175.jpg DUTS-TR-Contour\0175.png
DUTS-TR-Image\0176.jpg DUTS-TR-Contour\0176.png
DUTS-TR-Image\0177.jpg DUTS-TR-Contour\0177.png
DUTS-TR-Image\0178.jpg DUTS-TR-Contour\0178.png
DUTS-TR-Image\0181.jpg DUTS-TR-Contour\0181.png
DUTS-TR-Image\0182.jpg DUTS-TR-Contour\0182.png
DUTS-TR-Image\0183.jpg DUTS-TR-Contour\0183.png
DUTS-TR-Image\0184.jpg DUTS-TR-Contour\0184.png
DUTS-TR-Image\0185.jpg DUTS-TR-Contour\0185.png
DUTS-TR-Image\0186.jpg DUTS-TR-Contour\0186.png
DUTS-TR-Image\0188.jpg DUTS-TR-Contour\0188.png
DUTS-TR-Image\0189.jpg DUTS-TR-Contour\0189.png
DUTS-TR-Image\0190.jpg DUTS-TR-Contour\0190.png
DUTS-TR-Image\0191.jpg DUTS-TR-Contour\0191.png
DUTS-TR-Image\0192.jpg DUTS-TR-Contour\0192.png
DUTS-TR-Image\0193.jpg DUTS-TR-Contour\0193.png
DUTS-TR-Image\0194.jpg DUTS-TR-Contour\0194.png
DUTS-TR-Image\0195.jpg DUTS-TR-Contour\0195.png
DUTS-TR-Image\0197.jpg DUTS-TR-Contour\0197.png
DUTS-TR-Image\0198.jpg DUTS-TR-Contour\0198.png
DUTS-TR-Image\0200.jpg DUTS-TR-Contour\0200.png
DUTS-TR-Image\0202.jpg DUTS-TR-Contour\0202.png
DUTS-TR-Image\0205.jpg DUTS-TR-Contour\0205.png
DUTS-TR-Image\0206.jpg DUTS-TR-Contour\0206.png
DUTS-TR-Image\0207.jpg DUTS-TR-Contour\0207.png
DUTS-TR-Image\0208.jpg DUTS-TR-Contour\0208.png
DUTS-TR-Image\0209.jpg DUTS-TR-Contour\0209.png
DUTS-TR-Image\0210.jpg DUTS-TR-Contour\0210.png
DUTS-TR-Image\0211.jpg DUTS-TR-Contour\0211.png
DUTS-TR-Image\0213.jpg DUTS-TR-Contour\0213.png
DUTS-TR-Image\0214.jpg DUTS-TR-Contour\0214.png
DUTS-TR-Image\0215.jpg DUTS-TR-Contour\0215.png
DUTS-TR-Image\0216.jpg DUTS-TR-Contour\0216.png
DUTS-TR-Image\0217.jpg DUTS-TR-Contour\0217.png
DUTS-TR-Image\0218.jpg DUTS-TR-Contour\0218.png
DUTS-TR-Image\0220.jpg DUTS-TR-Contour\0220.png
DUTS-TR-Image\0221.jpg DUTS-TR-Contour\0221.png
DUTS-TR-Image\0222.jpg DUTS-TR-Contour\0222.png
DUTS-TR-Image\0223.jpg DUTS-TR-Contour\0223.png
DUTS-TR-Image\0225.jpg DUTS-TR-Contour\0225.png
DUTS-TR-Image\0226.jpg DUTS-TR-Contour\0226.png
DUTS-TR-Image\0228.jpg DUTS-TR-Contour\0228.png
DUTS-TR-Image\0229.jpg DUTS-TR-Contour\0229.png
DUTS-TR-Image\0230.jpg DUTS-TR-Contour\0230.png
DUTS-TR-Image\0231.jpg DUTS-TR-Contour\0231.png
DUTS-TR-Image\0232.jpg DUTS-TR-Contour\0232.png
DUTS-TR-Image\0233.jpg DUTS-TR-Contour\0233.png
DUTS-TR-Image\0234.jpg DUTS-TR-Contour\0234.png
DUTS-TR-Image\0238.jpg DUTS-TR-Contour\0238.png
DUTS-TR-Image\0239.jpg DUTS-TR-Contour\0239.png
DUTS-TR-Image\0240.jpg DUTS-TR-Contour\0240.png
DUTS-TR-Image\0241.jpg DUTS-TR-Contour\0241.png
DUTS-TR-Image\0244.jpg DUTS-TR-Contour\0244.png
DUTS-TR-Image\0245.jpg DUTS-TR-Contour\0245.png
DUTS-TR-Image\0246.jpg DUTS-TR-Contour\0246.png
DUTS-TR-Image\0247.jpg DUTS-TR-Contour\0247.png
DUTS-TR-Image\0248.jpg DUTS-TR-Contour\0248.png
DUTS-TR-Image\0249.jpg DUTS-TR-Contour\0249.png
DUTS-TR-Image\0250.jpg DUTS-TR-Contour\0250.png
DUTS-TR-Image\0251.jpg DUTS-TR-Contour\0251.png
DUTS-TR-Image\0252.jpg DUTS-TR-Contour\0252.png
DUTS-TR-Image\0253.jpg DUTS-TR-Contour\0253.png
DUTS-TR-Image\0256.jpg DUTS-TR-Contour\0256.png
DUTS-TR-Image\0257.jpg DUTS-TR-Contour\0257.png
DUTS-TR-Image\0258.jpg DUTS-TR-Contour\0258.png
DUTS-TR-Image\0261.jpg DUTS-TR-Contour\0261.png
DUTS-TR-Image\0262.jpg DUTS-TR-Contour\0262.png
DUTS-TR-Image\0265.jpg DUTS-TR-Contour\0265.png
DUTS-TR-Image\0266.jpg DUTS-TR-Contour\0266.png
DUTS-TR-Image\0267.jpg DUTS-TR-Contour\0267.png
DUTS-TR-Image\0268.jpg DUTS-TR-Contour\0268.png
DUTS-TR-Image\0269.jpg DUTS-TR-Contour\0269.png
DUTS-TR-Image\0270.jpg DUTS-TR-Contour\0270.png
DUTS-TR-Image\0271.jpg DUTS-TR-Contour\0271.png
DUTS-TR-Image\0272.jpg DUTS-TR-Contour\0272.png
DUTS-TR-Image\0274.jpg DUTS-TR-Contour\0274.png
DUTS-TR-Image\0275.jpg DUTS-TR-Contour\0275.png
DUTS-TR-Image\0276.jpg DUTS-TR-Contour\0276.png
DUTS-TR-Image\0277.jpg DUTS-TR-Contour\0277.png
DUTS-TR-Image\0278.jpg DUTS-TR-Contour\0278.png
DUTS-TR-Image\0284.jpg DUTS-TR-Contour\0284.png
DUTS-TR-Image\0287.jpg DUTS-TR-Contour\0287.png
DUTS-TR-Image\0288.jpg DUTS-TR-Contour\0288.png
DUTS-TR-Image\0290.jpg DUTS-TR-Contour\0290.png
DUTS-TR-Image\0291.jpg DUTS-TR-Contour\0291.png
DUTS-TR-Image\0292.jpg DUTS-TR-Contour\0292.png
DUTS-TR-Image\0293.jpg DUTS-TR-Contour\0293.png
DUTS-TR-Image\0294.jpg DUTS-TR-Contour\0294.png
DUTS-TR-Image\0296.jpg DUTS-TR-Contour\0296.png
DUTS-TR-Image\0297.jpg DUTS-TR-Contour\0297.png
DUTS-TR-Image\0298.jpg DUTS-TR-Contour\0298.png
DUTS-TR-Image\0299.jpg DUTS-TR-Contour\0299.png
DUTS-TR-Image\0301.jpg DUTS-TR-Contour\0301.png
DUTS-TR-Image\0303.jpg DUTS-TR-Contour\0303.png
DUTS-TR-Image\0304.jpg DUTS-TR-Contour\0304.png
DUTS-TR-Image\0305.jpg DUTS-TR-Contour\0305.png
DUTS-TR-Image\0306.jpg DUTS-TR-Contour\0306.png
DUTS-TR-Image\0307.jpg DUTS-TR-Contour\0307.png
