DUTS-TR-Image\0001.jpg DUTS-TR-Mask\0001.png
DUTS-TR-Image\0003.jpg DUTS-TR-Mask\0003.png
DUTS-TR-Image\0004.jpg DUTS-TR-Mask\0004.png
DUTS-TR-Image\0005.jpg DUTS-TR-Mask\0005.png
DUTS-TR-Image\0007.jpg DUTS-TR-Mask\0007.png
DUTS-TR-Image\0008.jpg DUTS-TR-Mask\0008.png
DUTS-TR-Image\0009.jpg DUTS-TR-Mask\0009.png
DUTS-TR-Image\0011.jpg DUTS-TR-Mask\0011.png
DUTS-TR-Image\0012.jpg DUTS-TR-Mask\0012.png
DUTS-TR-Image\0013.jpg DUTS-TR-Mask\0013.png
DUTS-TR-Image\0014.jpg DUTS-TR-Mask\0014.png
DUTS-TR-Image\0015.jpg DUTS-TR-Mask\0015.png
DUTS-TR-Image\0016.jpg DUTS-TR-Mask\0016.png
DUTS-TR-Image\0020.jpg DUTS-TR-Mask\0020.png
DUTS-TR-Image\0022.jpg DUTS-TR-Mask\0022.png
DUTS-TR-Image\0024.jpg DUTS-TR-Mask\0024.png
DUTS-TR-Image\0027.jpg DUTS-TR-Mask\0027.png
DUTS-TR-Image\0028.jpg DUTS-TR-Mask\0028.png
DUTS-TR-Image\0030.jpg DUTS-TR-Mask\0030.png
DUTS-TR-Image\0031.jpg DUTS-TR-Mask\0031.png
DUTS-TR-Image\0032.jpg DUTS-TR-Mask\0032.png
DUTS-TR-Image\0035.jpg DUTS-TR-Mask\0035.png
DUTS-TR-Image\0037.jpg DUTS-TR-Mask\0037.png
DUTS-TR-Image\0039.jpg DUTS-TR-Mask\0039.png
DUTS-TR-Image\0041.jpg DUTS-TR-Mask\0041.png
DUTS-TR-Image\0042.jpg DUTS-TR-Mask\0042.png
DUTS-TR-Image\0043.jpg DUTS-TR-Mask\0043.png
DUTS-TR-Image\0044.jpg DUTS-TR-Mask\0044.png
DUTS-TR-Image\0045.jpg DUTS-TR-Mask\0045.png
DUTS-TR-Image\0046.jpg DUTS-TR-Mask\0046.png
DUTS-TR-Image\0047.jpg DUTS-TR-Mask\0047.png
DUTS-TR-Image\0048.jpg DUTS-TR-Mask\0048.png
DUTS-TR-Image\0049.jpg DUTS-TR-Mask\0049.png
DUTS-TR-Image\0050.jpg DUTS-TR-Mask\0050.png
DUTS-TR-Image\0051.jpg DUTS-TR-Mask\0051.png
DUTS-TR-Image\0052.jpg DUTS-TR-Mask\0052.png
DUTS-TR-Image\0053.jpg DUTS-TR-Mask\0053.png
DUTS-TR-Image\0054.jpg DUTS-TR-Mask\0054.png
DUTS-TR-Image\0056.jpg DUTS-TR-Mask\0056.png
DUTS-TR-Image\0058.jpg DUTS-TR-Mask\0058.png
DUTS-TR-Image\0059.jpg DUTS-TR-Mask\0059.png
DUTS-TR-Image\0060.jpg DUTS-TR-Mask\0060.png
DUTS-TR-Image\0065.jpg DUTS-TR-Mask\0065.png
DUTS-TR-Image\0067.jpg DUTS-TR-Mask\0067.png
DUTS-TR-Image\0068.jpg DUTS-TR-Mask\0068.png
DUTS-TR-Image\0070.jpg DUTS-TR-Mask\0070.png
DUTS-TR-Image\0071.jpg DUTS-TR-Mask\0071.png
DUTS-TR-Image\0072.jpg DUTS-TR-Mask\0072.png
DUTS-TR-Image\0073.jpg DUTS-TR-Mask\0073.png
DUTS-TR-Image\0074.jpg DUTS-TR-Mask\0074.png
DUTS-TR-Image\0075.jpg DUTS-TR-Mask\0075.png
DUTS-TR-Image\0076.jpg DUTS-TR-Mask\0076.png
DUTS-TR-Image\0077.jpg DUTS-TR-Mask\0077.png
DUTS-TR-Image\0078.jpg DUTS-TR-Mask\0078.png
DUTS-TR-Image\0079.jpg DUTS-TR-Mask\0079.png
DUTS-TR-Image\0081.jpg DUTS-TR-Mask\0081.png
DUTS-TR-Image\0083.jpg DUTS-TR-Mask\0083.png
DUTS-TR-Image\0084.jpg DUTS-TR-Mask\0084.png
